Esercizio,Prog A,Prog B,Prog C,Link
,Warm-up,,,
Cyclette,5' bassa intensità,5' bassa intensità,5' bassa intensità,
Hip Circles,2x10,2x10,2x10,https://youtube.com/...
,Parte Inferiore,,,
Squat,3x10 60%,4x8 70%,4x6 80%,https://youtube.com/...
Leg Press,3 serie x 12 BW,3 serie x 10 60%,4 set x 8 70%,https://youtube.com/...
Affondi,3 serie da 10,10 rip x 3 serie,3x12 recupero 60s,https://youtube.com/...
Leg Curl,4 serie da 10 recupero 1 minuto,4x10 rec 60,4 set da 10 con pause da 60",https://youtube.com/...
Stacco,3x8 80kg,4x6 90kg,4x5 100 kg,https://youtube.com/...
,Parte Superiore,,,
Panca Piana,3x10 60%,4x8 70%,4x6 80%,https://youtube.com/...
Rematore,3x12 R45",3x10 1min,4x8 1min30s,https://youtube.com/...
Shoulder Press,3x12 RPE 7,3x10 RPE 8,4x8 RPE 9,https://youtube.com/...
Trazioni,3x8 BW,3x10 peso corporeo,4x8 BW,https://youtube.com/...
Curl Manubri,3x12 12kg,3x10 14 kg,4x8 15 kg,https://youtube.com/...
,Complementari,,,
Plank,3x30",3x45",3x60",
Crunch,3 serie x 15,3x20,3x20,
Bird Dog,2x10,3x10 RIR 2,3x12,https://youtube.com/...
Deadbug,AMRAP 5min,AMRAP 5min,AMRAP 5min,
